Agency_Code,Unique_Investment_Identifier,Business Case ID,Agency,Investment Title,Project_ID,Project_Name,Project Description,Start_Date,Completion_Date,Duration,Planned_Completion_Date,Planned_Duration,Projected/Actual Project Completion Date (B2),Lifecycle_Cost,Planned_Cost,Projected/Actual Cost ($ M),Updated Date,Updated Time,Column
7,007-000000049,13,Department of Defense(7),Armed Forces Health Longitudinal Technology Application,2570,ICD-10,International Statistical Classification of Diseases and Related Health Problems 10th Revision (ICD-10) codes.,2011-09-15T00:00:00Z,2012-09-14T00:00:00Z,365,2012-09-14T00:00:00Z,365,2012-09-14T00:00:00Z,5.468,5.468,5.468,1/6/2012,10:53:07,
7,007-000000049,13,Department of Defense(7),Armed Forces Health Longitudinal Technology Application,2571,Integrate Wounded Ill and Injured (WII) Warrior initiatives and Enterprise Blood Management System (EBMS)  into AHLTA,Integrate WII Warrior initiatives (Medical Evaluation Board Information Technology Initiative (MEB ITI) / Neuro-Cognitive Assessment Tool (NCAT) & Health Artifact and Image Management Solution (HAIMS)) and Enterprise Blood Management System (EBMS)  into AHLTA.,2011-09-27T00:00:00Z,2012-12-09T00:00:00Z,439,2012-12-09T00:00:00Z,439,2012-12-09T00:00:00Z,9.764,9.764,9.764,1/6/2012,10:53:07,
7,007-000000178,15,Department of Defense(7),DEFENSE ENTERPRISE ACCOUNTING AND MANAGEMENT SYSTEM,2576,Increment 1,"Full accounting for USTRANSCOM, Material Sealift Command, Surface Deployment and Distribution Command, Air Mobility Command, Air Combat Command, United States Air Forces Europe, Pacific Air Force, Air Force Special Operations Command, Air Education and Training Command, Air Force Reserve Command, Air National Guard, and Air Force Global Strike Command. Provide Design/Development/Test of the system.",2011-01-08T00:00:00Z,2017-09-30T00:00:00Z,2456,,,,367.2,321.47,321.47,29/02/2012,12:25:08,
7,007-000000178,15,Department of Defense(7),DEFENSE ENTERPRISE ACCOUNTING AND MANAGEMENT SYSTEM,2577,Increment 2,Full accounting for Air Force Material Command and Air Force Space Command.  Provide Design/Development/Test of the system.,2010-01-04T00:00:00Z,2017-08-30T00:00:00Z,2794,,,,127.2,65.1,65.1,26/10/2011,8:43:38,
7,007-000000186,16,Department of Defense(7),NAVY ENTERPRISE RESOURCE PLANNING (ERP),2578,Navy ERP Implementation/Deployment,This project includes all of the remaining Navy ERP Deployments:Naval Supply Systems Command (NAVSUP) (Phase II - Fleet Logistics Centers and Partner Sites) Strategic Systems Program (SSP)Office of Naval Research (ONR)Naval Sea Systems (NAVSEA) Command Navy Working Capital Fund (NWCF).,2010-01-10T00:00:00Z,2013-03-31T00:00:00Z,1176,2013-03-31T00:00:00Z,1176,2013-03-31T00:00:00Z,74.641,74.64,70.206,20/07/2012,6:14:23,
7,007-000000057,17,Department of Defense(7),MULTIFUNCTIONAL INFORMATION DISTRIBUTION SYSTEM,2572,Block Cycle (BC) 1 for MIDS-JTRS,Complete the development and begin implementaiton of MIDS JTRS Block Cycle 1 which incorporates NSA mandated Crypto Modernization as well as high priority Problem Report (PR) fixes.,2011-09-16T00:00:00Z,2013-05-15T00:00:00Z,607,2013-05-15T00:00:00Z,607,2013-05-15T00:00:00Z,26,26,20.012,11/1/2012,8:35:32,
7,007-000000057,17,Department of Defense(7),MULTIFUNCTIONAL INFORMATION DISTRIBUTION SYSTEM,2573,Block Upgrade 2 for MIDS-LVT,"Full development of Block Upgrade 2 for MIDS-LVT Terminals to include NSA mandated Crypto Modernization, Department of Transportation mandated Frequency Remapping, Enhanced Throughput and associated hardware updates to incorporate these updates.",2012-03-09T00:00:00Z,2015-09-30T00:00:00Z,1299,,,,104,38.4,0,26/10/2011,8:43:36,
7,007-000000057,17,Department of Defense(7),MULTIFUNCTIONAL INFORMATION DISTRIBUTION SYSTEM,2574,MIDS JTRS Sustainment,Sustainment of MIDS JTRS as it reaches its Full Production and Fielding and Initial Operational Capability (IOC) decisions.,2011-01-10T00:00:00Z,2012-09-30T00:00:00Z,628,2012-09-30T00:00:00Z,628,2012-09-30T00:00:00Z,14.457,14.457,3.1,23/02/2012,10:30:15,
7,007-000000192,18,Department of Defense(7),Product Tailoring Warfighter Applications,2579,Joint Environmental Toolkit (JET),"Joint Environmental Toolkit (JET) is the name of the system that will support the Product Tailoring Warfighter Applications (PTWA) program.  JET is an environmental data collection and processing project that facilitates the construction of mission-tailored products for military operations worldwide and provides continuous aerospace and ground weather support to DoD operational customers. Data and products are provided to warfighters and warfighter support activities at all levels (strategic, operational, and tactical) of DoD operations with environmental data critical to combat operations involving both Air Force and Army assets.  JET will provide the capability for users to create, access, modify, and transmit mission-critical environmental data among users and between users and operational customers. JET supports the AF core capabilities of Counterair, Counterspace, Counterland, Countersea, Strategic Attack, Counter Information, Command and Control, Airlift, Air Refueling, Spacelift, Special Operations Employment, Intelligence, Surveillance, Reconnaissance, Combat Search and Rescue, Navigation and Positioning with worldwide environmental data collection and formatting for warfighters and warfighter support activities.  It will also support the Army core capabilities of Aviation, Air Defense, Ammunition, Post Support, Close Combat (Heavy and Light), Deep Strike Operations, Rear Strike Operations, Combat Support; Combat Service Support; Analysis Control Element, Intelligence Preparation of the Battlefield, Mission Planning and Rehearsal, Air Assault, Airborne Operations, Maneuver, Targeting, Terrain Analysis, Battlefield Visualization, Tactical Unmanned Aerial Vehicle Operations, Split-Based & Force Projection Operations, Military Operations Other Than War, Logistics, Space; Command, Control, Communications, and Computers; Engineering, Mine Warfare, Fire Support, Intelligence and Electronic Warfare; Nuclear; Biological, and Chemical Warfare; Land Combat Engineering Support, Special Operations, Technical Base/Post Training, Test and Evaluation. There are no known agency performance gaps.  With the successful completion of Increment 1, Service Pack 2, the user is currently decommissioning one of their legacy systems - NTFS. Increment 2 is scheduled to be fielded starting in Feb 2012; IOC will be reached with the delivery of the first OWS in Spring 2012. Increment 2 will consolidate all JET servers and another legacy system, OPS II, will be decommissioned.",2006-03-28T00:00:00Z,2015-07-31T00:00:00Z,3412,2012-07-24T00:00:00Z,2310,2012-07-24T00:00:00Z,221.9,57.496,57.496,15/03/2012,12:31:58,
7,007-000000342,20,Department of Defense(7),"Joint Tactical Radio System (JTRS) - HANDHELD, MANPACK, AND SMALL FORM FIT RADIOS (HMS)",2581,System Development and Demonstration - HMS post-Spiral 1 development to initial decision (Milestone C).,The contracting activity development completion planned in FY11.  The final Integrated Operational Test and Evaluation will occur in FY12.,2004-07-16T00:00:00Z,2015-12-31T00:00:00Z,4185,,,,1211.853,1027.653,0,26/10/2011,8:43:41,
